"M","42","2016-10-03T08:13:25","1211","1"
"M","42","2016-10-03T06:16:05","1211","1"
"M","42","2016-10-03T14:02:40","1211","1"
"M","42","2016-10-03T19:48:10","1211","1"
"M","42","2016-10-03T19:37:10","1211","1"
"M","42","2016-10-03T14:01:02","1211","1"
"M","42","2016-10-03T06:26:54","1211","3"
"M","42","2016-10-03T05:51:23","1211","3"
"M","42","2016-10-03T05:44:06","1211","1"
"M","42","2016-10-03T19:33:37","1211","1"
"M","42","2016-10-03T20:03:30","1211","3"
"M","42","2016-10-03T19:45:42","1211","3"
"M","42","2016-10-03T06:06:01","1211","3"
"M","42","2016-10-03T14:01:48","1211","1"
"M","42","2016-10-03T08:15:27","1211","1"
"M","42","2016-10-03T05:50:11","1211","1"
"M","42","2016-10-03T06:40:44","1211","1"
"M","42","2016-10-03T19:50:18","1211","1"
"M","42","2016-10-03T07:03:50","1211","3"
"M","42","2016-10-03T19:54:33","1211","3"
"M","42","2016-10-03T19:51:22","1211","1"
"M","42","2016-10-03T05:57:28","1211","3"
"M","52","2016-10-03T18:24:09","1142","1"
"M","52","2016-10-03T18:17:43","1142","1"
"M","52","2016-10-03T18:30:10","1142","3"
"M","52","2016-10-03T18:18:11","1142","3"
"M","52","2016-10-03T18:29:34","1142","1"
"M","52","2016-10-03T15:49:21","1142","7"
"M","52","2016-10-03T15:49:21","1142","7"
"M","52","2016-10-03T15:49:20","1142","7"
"M","52","2016-10-03T15:49:20","1142","7"
"M","52","2016-10-03T15:49:11","1142","7"
"M","52","2016-10-03T18:26:55","1142","1"
"M","52","2016-10-03T18:28:04","1142","1"
"F","59","2016-10-03T18:29:33","1131","1"
"M","19","2016-10-03T20:57:04","1238","1"
"M","19","2016-10-03T16:03:25","1238","3"
"M","19","2016-10-03T10:02:31","1238","7"
"M","19","2016-10-03T10:02:31","1238","7"
"M","19","2016-10-03T20:58:28","1238","1"
"M","19","2016-10-03T21:56:09","1238","7"
"M","19","2016-10-03T19:21:08","1238","3"
"M","19","2016-10-03T19:21:46","1238","1"
"M","19","2016-10-03T19:46:52","1238","1"
"M","19","2016-10-03T17:44:50","1238","7"
"M","19","2016-10-03T10:02:29","1238","7"
"M","19","2016-10-03T20:05:09","1238","7"
"M","19","2016-10-03T20:21:26","1238","3"
"M","19","2016-10-03T17:42:36","1238","1"
"M","19","2016-10-03T17:43:08","1238","3"
"M","19","2016-10-03T17:12:20","1238","3"
"M","19","2016-10-03T15:29:04","1238","1"
"M","19","2016-10-03T17:09:42","1238","7"
"M","19","2016-10-03T19:18:56","1238","1"
"M","19","2016-10-03T14:18:53","1238","3"
"M","19","2016-10-03T16:02:55","1238","1"
"M","19","2016-10-03T15:36:29","1238","1"
"M","19","2016-10-03T11:52:55","1238","1"
,"0","2016-10-03T09:24:38","1146","3"
,"0","2016-10-03T13:04:29","1146","1"
,"0","2016-10-03T16:52:10","1146","3"
"F","25","2016-10-03T15:35:03","1173","7"
"F","25","2016-10-03T07:34:23","1173","7"
"F","25","2016-10-03T12:49:26","1173","9"
"F","25","2016-10-03T18:07:50","1173","1"
"F","25","2016-10-03T14:04:36","1173","9"
"F","25","2016-10-03T06:35:05","1173","7"
"F","25","2016-10-03T09:58:11","1173","3"
"F","25","2016-10-03T14:48:35","1173","7"
"F","25","2016-10-03T13:56:23","1173","1"
"F","25","2016-10-03T12:52:33","1173","9"
"F","25","2016-10-03T14:58:13","1173","1"
"F","25","2016-10-03T17:45:05","1173","3"
"F","25","2016-10-03T18:28:15","1173","1"
"F","25","2016-10-03T14:08:49","1173","3"
"F","25","2016-10-03T07:34:34","1173","7"
"F","25","2016-10-03T13:54:30","1173","7"
"F","25","2016-10-03T13:54:28","1173","7"
"F","25","2016-10-03T14:05:24","1173","7"
"F","25","2016-10-03T10:05:11","1173","9"
"F","25","2016-10-03T13:12:55","1173","1"
"F","25","2016-10-03T13:15:23","1173","3"
,"0","2016-10-03T15:55:14","1097","3"
,"0","2016-10-03T17:08:34","1097","1"
,"0","2016-10-03T15:53:06","1097","3"
,"0","2016-10-03T12:14:27","1097","1"
,"0","2016-10-03T10:57:15","1097","1"
,"0","2016-10-03T07:21:36","1097","7"
,"0","2016-10-03T15:34:50","1251","1"
,"0","2016-10-03T16:01:57","1251","3"
"M","28","2016-10-03T08:11:54","1193","3"
"M","28","2016-10-03T18:16:21","1193","3"
"M","28","2016-10-03T07:02:31","1193","7"
"M","28","2016-10-03T08:47:44","1193","3"
"M","28","2016-10-03T18:11:19","1193","1"
"M","28","2016-10-03T07:31:44","1193","3"
,"0","2016-10-03T14:29:03","1056","3"
"F","79","2016-10-03T12:22:43","1026","1"
"F","79","2016-10-03T15:00:40","1026","7"
"F","79","2016-10-03T12:23:00","1026","1"
,"0","2016-10-03T11:54:06","1108","3"
,"0","2016-10-03T15:29:23","1108","1"
,"0","2016-10-03T11:33:31","1108","1"
,"0","2016-10-03T14:15:43","1108","1"
,"0","2016-10-03T15:28:47","1108","1"
,"0","2016-10-03T08:45:33","1153","3"
,"0","2016-10-03T13:33:09","1153","3"
,"0","2016-10-03T15:46:39","1153","3"
,"0","2016-10-03T18:47:36","1153","1"
,"0","2016-10-03T11:55:44","1153","1"
,"0","2016-10-03T18:23:58","1153","3"
,"0","2016-10-03T18:41:10","1153","1"
,"0","2016-10-03T08:14:52","1101","1"
,"0","2016-10-03T12:26:54","1101","1"
,"0","2016-10-03T16:22:59","1101","1"
,"0","2016-10-03T08:49:12","1101","1"
,"0","2016-10-03T09:43:23","1101","1"
,"0","2016-10-03T16:11:52","1101","1"
,"0","2016-10-03T11:34:35","1101","1"
,"0","2016-10-03T11:38:27","1101","1"
,"0","2016-10-03T16:20:57","1101","3"
,"0","2016-10-03T14:39:50","1211","9"
,"0","2016-10-03T15:10:38","1211","9"
,"0","2016-10-03T15:11:04","1211","9"
,"0","2016-10-03T16:00:39","1211","3"
